20130523 012601 "寄生在麦穗、叶上"                                                                           2013.00 5.00 22.00 0.00 53696.00 38.52 115.00 54.80 55.80 1.00 504.00 10302.00 7.00 1.00 0.00 
20130523 012601 "叶片由黄绿色变为黄白色"                                                                  2013.00 5.00 22.00 0.00 53980.00 36.33 114.48 50.20 999999.00 1.00 208.00 10302.00 20.00 2.00 0.00 
20130522 014602 "个别叶片被击破。"                                                                           2013.00 5.00 21.00 0.00 52995.00 35.58 104.62 1897.20 1898.40 1.00 107.00 10304.00 100.00 2.00 0.00 
20130523 000000 "叶子变黄、干缩，芒变白"                                                                  2013.00 5.00 22.00 0.00 53948.00 34.95 109.58 499.20 49.90 1.00 101.00 10301.00 100.00 3.00 5.00 
20130523 082601 "受害麦穗增多、叶上也增多"                                                               2013.00 5.00 23.00 0.00 53696.00 38.52 115.00 54.80 55.80 1.00 504.00 10302.00 14.00 1.00 0.00 
20130519 003100 "植株上部叶子卷起"                                                                           2013.00 5.00 18.00 0.00 53872.00 36.77 112.68 960.70 962.40 1.00 101.00 10301.00 100.00 1.00 0.00 
20130524 001230 "小麦颗粒不太饱满"                                                                           2013.00 5.00 23.00 0.00 53956.00 35.40 110.83 588.40 589.60 1.00 101.00 10301.00 100.00 3.00 3.00 
20130519 000000 "叶子变软，白天萎蔫下垂，夜间可以恢复。"                                          2013.00 5.00 18.00 0.00 54777.00 37.20 122.07 118.00 999999.00 1.00 101.00 10301.00 100.00 2.00 0.00 
20130523 012830 "植株上部叶子卷缩成管状"                                                                  2013.00 5.00 22.00 0.00 53872.00 36.77 112.68 960.70 962.40 1.00 101.00 10301.00 100.00 4.00 0.00 
