20130517 082353 "???????"                                                                                            2013.00 5.00 17.00 0.00 59063.00 25.18 111.45 265.70 999999.00 1.00 102.00 10202.00 100.00 999999.00 100.00 20.00 
20130519 012202 "基本苗不足，高低不齐，缺苗断垄严重。"                                             2013.00 5.00 18.00 0.00 52995.00 35.58 104.62 1897.20 1898.40 1.00 101.00 10304.00 100.00 0.20 100.00 60.00 
20130520 011701 "作物叶片失水，白天萎蔫下垂，夜间可以恢复。"                                    2013.00 5.00 18.00 0.00 57014.00 34.57 105.87 1085.20 999999.00 1.00 101.00 10301.00 40.00 13213.30 64.00 10.00 
20130520 011701 "作物叶片失水，白天萎蔫下垂，夜间可以恢复。"                                    2013.00 5.00 18.00 0.00 57014.00 34.57 105.87 1085.20 999999.00 1.00 101.00 10602.00 45.00 2533.30 61.00 10.00 
20130519 000000 "叶子变软，白天萎蔫下垂，夜间可以恢复。"                                          2013.00 5.00 18.00 0.00 54777.00 37.20 122.07 118.00 999999.00 1.00 101.00 10301.00 100.00 13333.30 50.00 999999.00 
