51058,2221,2013,238,0100,1,26.2,128,2,106.6,128,3,36.97,33,4,-0.232,128,5,1.618,128,6,1.385,128,7,-0.244,128
51058,2221,2013,238,0105,1,26.3,128,2,107.4,128,3,39.79,33,4,-0.224,128,5,1.637,128,6,1.413,128,7,-0.190,128
51058,2221,2013,238,0110,1,26.3,128,2,107.5,128,3,39.20,33,4,-0.221,128,5,1.656,128,6,1.435,128,7,-0.204,128
51058,2221,2013,238,0115,1,26.3,128,2,106.8,128,3,38.56,33,4,-0.225,128,5,1.687,128,6,1.462,128,7,-0.320,128
51058,2221,2013,238,0120,1,26.3,128,2,106.1,128,3,42.68,33,4,-0.224,128,5,1.729,128,6,1.505,128,7,-0.171,128
51058,2221,2013,238,0125,1,26.3,128,2,107.1,128,3,44.24,33,4,-0.206,128,5,1.758,128,6,1.552,128,7,-0.265,128
51058,2221,2013,238,0130,1,26.3,128,2,111.0,128,3,41.71,33,4,-0.197,128,5,1.770,128,6,1.573,128,7,-0.504,128
51058,2221,2013,238,0135,1,26.4,128,2,114.7,128,3,40.68,33,4,-0.180,128,5,1.776,128,6,1.596,128,7,-0.414,128
51058,2221,2013,238,0140,1,26.4,128,2,110.2,128,3,41.61,33,4,-0.150,128,5,1.782,128,6,1.632,128,7,-0.293,128
51058,2221,2013,238,0145,1,26.4,128,2,105.5,128,3,43.37,33,4,-0.146,128,5,1.775,128,6,1.629,128,7,-0.296,128
51058,2221,2013,238,0150,1,26.4,128,2,107.2,128,3,44.24,33,4,-0.139,128,5,1.773,128,6,1.634,128,7,-0.409,128
51058,2221,2013,238,0155,1,26.4,128,2,106.5,64,3,40.74,33,4,-0.172,128,5,1.814,128,6,1.642,128,7,-0.334,64
